PAW protein_summary_9 results file
written: Wed Jul 17 11:40:29 2019

 	=subtotal(109,B6:B4149)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
321.0	1	XP_027429557.1	 	2.1	1584	183753	sterile alpha motif domain-containing protein 9-like [Zalophus californianus]XP_027429556.1 sterile alpha motif domain-containing protein 9-like [Zalophus californianus]XP_027429555.1 sterile alpha motif domain-containing protein 9-like [Zalophus californianus]	2	2	1.000	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	 
322.0	1	XP_027429584.1	 	5.4	1105	124786	voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X1 [Zalophus californianus]	7	7	1.000	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	2.000	0.000	0.000	 
322.01	1	XP_027429585.1	redundant	5.5	1098	124046	voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X2 [Zalophus californianus]	7	7	1.000	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	2.000	0.000	0.000	 
322.02	1	XP_027429586.1	redundant	5.5	1091	123230	voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X3 [Zalophus californianus]	7	7	1.000	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	2.000	0.000	0.000	 
322.03	1	XP_027429587.1	redundant	5.5	1086	122675	voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X4 [Zalophus californianus]	7	7	1.000	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	2.000	0.000	0.000	 
322.04	1	XP_027429588.1	redundant	5.5	1084	122490	voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X5 [Zalophus californianus]	7	7	1.000	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	2.000	0.000	0.000	 
322.05	1	XP_027429591.1	redundant	5.6	1079	121935	voltage-dependent calcium channel subunit alpha-2/delta-1 isoform X6 [Zalophus californianus]	7	7	1.000	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	2.000	0.000	0.000	 
323.0	1	XP_027429595.1	 	11.1	235	27051	transmembrane emp24 domain-containing protein 4 isoform X1 [Zalophus californianus]XP_027429594.1 transmembrane emp24 domain-containing protein 4 isoform X1 [Zalophus californianus]	3	3	1.000	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	 
323.01	1	XP_027429596.1	redundant	11.4	228	26297	transmembrane emp24 domain-containing protein 4 isoform X2 [Zalophus californianus]	3	3	1.000	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	 
324.0	1	XP_027429632.1	 	46.2	253	28673	phosphoglycerate mutase 2 [Zalophus californianus]	89	25	0.281	7	6	6	3	2	3	3	5	4	19	6	2	3	3	0	2	2	11	2	2	1	2	0	0	0	0	0	0	13	0	1	0	0	0	0	0	6	0	2.455	1.385	3.333	0.000	0.000	0.000	0.000	0.000	0.000	15.108	0.000	1.200	0.000	0.000	0.000	0.000	0.000	8.500	1.000	XP_027429632.1, XP_027447624.1
325.0	1	XP_027429640.1	 	18.8	976	107400	ephrin type-A receptor 1 isoform X1 [Zalophus californianus]	59	59	1.000	1	2	1	3	4	1	4	7	5	6	0	0	7	6	4	5	3	0	0	1	2	1	3	4	1	4	7	5	6	0	0	7	6	4	5	3	0	0	1.000	2.000	1.000	3.000	4.000	1.000	4.000	7.000	5.000	6.000	0.000	0.000	7.000	6.000	4.000	5.000	3.000	0.000	0.000	 
325.01	1	XP_027429641.1	redundant	20.1	912	100405	ephrin type-A receptor 1 isoform X2 [Zalophus californianus]	59	59	1.000	1	2	1	3	4	1	4	7	5	6	0	0	7	6	4	5	3	0	0	1	2	1	3	4	1	4	7	5	6	0	0	7	6	4	5	3	0	0	1.000	2.000	1.000	3.000	4.000	1.000	4.000	7.000	5.000	6.000	0.000	0.000	7.000	6.000	4.000	5.000	3.000	0.000	0.000	 
326.0	1	XP_027429683.1	 	29.1	440	50193	fibroleukin [Zalophus californianus]	56	56	1.000	9	4	0	0	4	2	5	0	0	9	8	0	5	1	0	1	0	7	1	9	4	0	0	4	2	5	0	0	9	8	0	5	1	0	1	0	7	1	9.000	4.000	0.000	0.000	4.000	2.000	5.000	0.000	0.000	9.000	8.000	0.000	5.000	1.000	0.000	1.000	0.000	7.000	1.000	 
327.0	1	XP_027429722.1	 	40.2	97	10840	pro-neuropeptide Y [Zalophus californianus]XP_027429721.1 pro-neuropeptide Y [Zalophus californianus]	6	6	1.000	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.000	0.000	0.000	1.000	4.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	 
328.0	1	XP_027429726.1	 	67.8	118	12895	myotrophin [Zalophus californianus]	94	94	1.000	11	5	1	1	15	2	4	2	5	10	12	1	7	4	1	0	0	12	1	11	5	1	1	15	2	4	2	5	10	12	1	7	4	1	0	0	12	1	11.000	5.000	1.000	1.000	15.000	2.000	4.000	2.000	5.000	10.000	12.000	1.000	7.000	4.000	1.000	0.000	0.000	12.000	1.000	 
329.0	1	XP_027429730.1	 	18.6	569	58772	podocalyxin [Zalophus californianus]	39	39	1.000	0	0	0	10	0	0	0	2	4	0	0	0	0	3	7	7	6	0	0	0	0	0	10	0	0	0	2	4	0	0	0	0	3	7	7	6	0	0	0.000	0.000	0.000	10.000	0.000	0.000	0.000	2.000	4.000	0.000	0.000	0.000	0.000	3.000	7.000	7.000	6.000	0.000	0.000	 
330.0	1	XP_027429748.1	 	30.7	437	48900	LOW QUALITY PROTEIN: vacuolar protein sorting-associated protein 4A-like [Zalophus californianus]XP_027474542.1 vacuolar protein sorting-associated protein 4A isoform X1 [Zalophus californianus]	32	16	0.500	1	0	0	6	1	0	0	1	6	1	0	0	0	1	3	7	4	1	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	2	5	2	0	0	0.500	0.000	0.000	4.800	0.500	0.000	0.000	0.000	4.800	0.500	0.000	0.000	0.000	0.000	2.667	5.833	2.571	0.500	0.000	XP_027429748.1, XP_027432327.1
330.01	1	XP_027474543.1	redundant	30.7	436	48813	vacuolar protein sorting-associated protein 4A isoform X2 [Zalophus californianus]	32	16	0.500	1	0	0	6	1	0	0	1	6	1	0	0	0	1	3	7	4	1	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	2	5	2	0	0	0.500	0.000	0.000	4.800	0.500	0.000	0.000	0.000	4.800	0.500	0.000	0.000	0.000	0.000	2.667	5.833	2.571	0.500	0.000	XP_027429748.1, XP_027432327.1
331.0	1	XP_027429766.1	 	21.2	316	34472	uridine phosphorylase 1 isoform X1 [Zalophus californianus]XP_027429765.1 uridine phosphorylase 1 isoform X1 [Zalophus californianus]XP_027429763.1 uridine phosphorylase 1 isoform X1 [Zalophus californianus]XP_027429762.1 uridine phosphorylase 1 isoform X1 [Zalophus californianus]XP_027429761.1 uridine phosphorylase 1 isoform X1 [Zalophus californianus]XP_027429760.1 uridine phosphorylase 1 isoform X1 [Zalophus californianus]	5	5	1.000	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	 
332.0	1	XP_027429792.1	 	37.6	354	40389	guanine nucleotide-binding protein G(i) subunit alpha-1 [Zalophus californianus]	31	8	0.258	2	5	1	0	1	0	0	5	3	1	0	1	3	0	1	2	6	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.200	1.361	1.000	0.000	0.200	0.000	0.000	0.000	0.000	5.000	0.000	0.000	XP_027429792.1, XP_027441020.1, XP_027463720.1, XP_027476352.1, XP_027480687.1
333.0	1	XP_027429795.1	 	87.1	255	27533	insulin-like growth factor-binding protein 1 [Zalophus californianus]	1344	1344	1.000	572	48	45	25	80	20	32	17	35	9	111	34	17	17	17	26	17	215	7	572	48	45	25	80	20	32	17	35	9	111	34	17	17	17	26	17	215	7	572.000	48.000	45.000	25.000	80.000	20.000	32.000	17.000	35.000	9.000	111.000	34.000	17.000	17.000	17.000	26.000	17.000	215.000	7.000	 
334.0	1	XP_027429876.1	 	4.2	592	65396	solute carrier family 13 member 1 isoform X1 [Zalophus californianus]XP_027429875.1 solute carrier family 13 member 1 isoform X1 [Zalophus californianus]	5	5	1.000	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	 
334.01	1	XP_027429877.1	redundant	4.5	552	60562	solute carrier family 13 member 1 isoform X2 [Zalophus californianus]	5	5	1.000	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	 
335.0	1	XP_027429903.1	 	39.4	188	21076	gamma-glutamylcyclotransferase isoform X1 [Zalophus californianus]	20	20	1.000	2	2	0	0	3	1	1	0	0	3	3	0	0	0	0	0	0	5	0	2	2	0	0	3	1	1	0	0	3	3	0	0	0	0	0	0	5	0	2.000	2.000	0.000	0.000	3.000	1.000	1.000	0.000	0.000	3.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	5.000	0.000	 
336.0	1	XP_027429923.1	 	30.5	640	72360	protein disulfide-isomerase A4 [Zalophus californianus]	42	42	1.000	6	3	1	1	6	2	1	0	0	0	2	0	13	0	2	0	2	2	1	6	3	1	1	6	2	1	0	0	0	2	0	13	0	2	0	2	2	1	6.000	3.000	1.000	1.000	6.000	2.000	1.000	0.000	0.000	0.000	2.000	0.000	13.000	0.000	2.000	0.000	2.000	2.000	1.000	 
337.0	1	XP_027429939.1	 	23.5	234	25898	proteasome subunit alpha type-2 [Zalophus californianus]	8	8	1.000	0	0	0	0	0	2	0	0	0	1	1	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1	0	3	0	0	0	1	0	0	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	1.000	1.000	0.000	3.000	0.000	0.000	0.000	1.000	0.000	0.000	 
338.0	1	XP_027429978.1	 	31.2	128	13509	histone H2A.V isoform X1 [Zalophus californianus]	43	13	0.302	3	7	1	2	1	2	2	1	1	2	6	2	4	1	1	2	2	2	1	1	4	0	0	0	0	1	0	0	0	4	0	2	0	0	0	0	1	0	1.250	4.750	0.333	0.000	0.000	0.000	1.500	0.333	0.333	0.000	4.500	0.000	2.500	0.333	0.333	0.667	0.667	1.200	0.000	XP_027427272.1, XP_027429978.1, XP_027458041.1
338.01	1	XP_027455845.1	redundant	31.2	128	13553	histone H2A.Z [Zalophus californianus]	43	13	0.302	3	7	1	2	1	2	2	1	1	2	6	2	4	1	1	2	2	2	1	1	4	0	0	0	0	1	0	0	0	4	0	2	0	0	0	0	1	0	1.250	4.750	0.333	0.000	0.000	0.000	1.500	0.333	0.333	0.000	4.500	0.000	2.500	0.333	0.333	0.667	0.667	1.200	0.000	XP_027427272.1, XP_027429978.1, XP_027458041.1
339.0	1	XP_027429998.1	 	10.0	429	48769	lysophosphatidic acid phosphatase type 6 isoform X1 [Zalophus californianus]	10	10	1.000	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	1	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	1	3	0	0	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	1.000	3.000	0.000	0.000	 
339.01	1	XP_027430003.1	redundant	10.0	428	48641	lysophosphatidic acid phosphatase type 6 isoform X2 [Zalophus californianus]	10	10	1.000	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	1	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	1	3	0	0	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	1.000	3.000	0.000	0.000	 
340.0	1	XP_027430031.1	 	48.2	228	26108	UMP-CMP kinase [Zalophus californianus]	24	24	1.000	5	0	0	1	4	0	2	2	0	0	1	0	5	0	0	0	1	3	0	5	0	0	1	4	0	2	2	0	0	1	0	5	0	0	0	1	3	0	5.000	0.000	0.000	1.000	4.000	0.000	2.000	2.000	0.000	0.000	1.000	0.000	5.000	0.000	0.000	0.000	1.000	3.000	0.000	 
341.0	1	XP_027430135.1	 	66.1	227	24738	protein FAM3C [Zalophus californianus]XP_027430134.1 protein FAM3C [Zalophus californianus]XP_027430133.1 protein FAM3C [Zalophus californianus]	186	186	1.000	12	7	3	3	28	14	13	6	10	15	12	2	18	11	5	0	3	13	11	12	7	3	3	28	14	13	6	10	15	12	2	18	11	5	0	3	13	11	12.000	7.000	3.000	3.000	28.000	14.000	13.000	6.000	10.000	15.000	12.000	2.000	18.000	11.000	5.000	0.000	3.000	13.000	11.000	 
342.0	1	XP_027430200.1	 	12.9	271	28794	aquaporin-1 [Zalophus californianus]	51	51	1.000	1	0	1	5	1	0	0	9	4	3	0	0	1	4	5	7	10	0	0	1	0	1	5	1	0	0	9	4	3	0	0	1	4	5	7	10	0	0	1.000	0.000	1.000	5.000	1.000	0.000	0.000	9.000	4.000	3.000	0.000	0.000	1.000	4.000	5.000	7.000	10.000	0.000	0.000	 
343.0	1	XP_027430222.1	 	19.4	206	23540	ras-related protein Ral-A [Zalophus californianus]	16	14	0.875	0	1	0	2	0	0	0	4	1	0	0	0	0	3	1	2	2	0	0	0	1	0	2	0	0	0	3	1	0	0	0	0	3	1	1	2	0	0	0.000	1.000	0.000	2.000	0.000	0.000	0.000	4.000	1.000	0.000	0.000	0.000	0.000	3.000	1.000	2.000	2.000	0.000	0.000	XP_027430222.1, XP_027446704.1
344.0	1	XP_027430296.1	 	15.7	745	85955	caldesmon isoform X1 [Zalophus californianus]XP_027430295.1 caldesmon isoform X1 [Zalophus californianus]XP_027430294.1 caldesmon isoform X1 [Zalophus californianus]	16	16	1.000	3	0	0	0	3	0	0	1	0	1	3	0	1	0	0	0	0	4	0	3	0	0	0	3	0	0	1	0	1	3	0	1	0	0	0	0	4	0	3.000	0.000	0.000	0.000	3.000	0.000	0.000	1.000	0.000	1.000	3.000	0.000	1.000	0.000	0.000	0.000	0.000	4.000	0.000	 
344.01	1	XP_027430297.1	redundant	15.8	739	84521	caldesmon isoform X2 [Zalophus californianus]	16	16	1.000	3	0	0	0	3	0	0	1	0	1	3	0	1	0	0	0	0	4	0	3	0	0	0	3	0	0	1	0	1	3	0	1	0	0	0	0	4	0	3.000	0.000	0.000	0.000	3.000	0.000	0.000	1.000	0.000	1.000	3.000	0.000	1.000	0.000	0.000	0.000	0.000	4.000	0.000	 
344.02	1	XP_027430298.1	redundant	16.2	720	83053	caldesmon isoform X3 [Zalophus californianus]	16	16	1.000	3	0	0	0	3	0	0	1	0	1	3	0	1	0	0	0	0	4	0	3	0	0	0	3	0	0	1	0	1	3	0	1	0	0	0	0	4	0	3.000	0.000	0.000	0.000	3.000	0.000	0.000	1.000	0.000	1.000	3.000	0.000	1.000	0.000	0.000	0.000	0.000	4.000	0.000	 
344.03	1	XP_027430299.1	redundant	16.4	714	81619	caldesmon isoform X4 [Zalophus californianus]	16	16	1.000	3	0	0	0	3	0	0	1	0	1	3	0	1	0	0	0	0	4	0	3	0	0	0	3	0	0	1	0	1	3	0	1	0	0	0	0	4	0	3.000	0.000	0.000	0.000	3.000	0.000	0.000	1.000	0.000	1.000	3.000	0.000	1.000	0.000	0.000	0.000	0.000	4.000	0.000	 
344.04	1	XP_027430300.1	redundant	21.7	539	62272	caldesmon isoform X5 [Zalophus californianus]	16	16	1.000	3	0	0	0	3	0	0	1	0	1	3	0	1	0	0	0	0	4	0	3	0	0	0	3	0	0	1	0	1	3	0	1	0	0	0	0	4	0	3.000	0.000	0.000	0.000	3.000	0.000	0.000	1.000	0.000	1.000	3.000	0.000	1.000	0.000	0.000	0.000	0.000	4.000	0.000	 
344.05	1	XP_027430302.1	redundant	22.0	533	60839	caldesmon isoform X6 [Zalophus californianus]	16	16	1.000	3	0	0	0	3	0	0	1	0	1	3	0	1	0	0	0	0	4	0	3	0	0	0	3	0	0	1	0	1	3	0	1	0	0	0	0	4	0	3.000	0.000	0.000	0.000	3.000	0.000	0.000	1.000	0.000	1.000	3.000	0.000	1.000	0.000	0.000	0.000	0.000	4.000	0.000	 
345.0	1	XP_027430314.1	 	57.1	198	21665	sorcin isoform X2 [Zalophus californianus]	41	41	1.000	4	7	0	0	6	0	0	3	1	0	7	0	6	1	0	0	4	1	1	4	7	0	0	6	0	0	3	1	0	7	0	6	1	0	0	4	1	1	4.000	7.000	0.000	0.000	6.000	0.000	0.000	3.000	1.000	0.000	7.000	0.000	6.000	1.000	0.000	0.000	4.000	1.000	1.000	 
346.0	1	XP_027430334.1	 	12.4	421	48000	testin [Zalophus californianus]	6	6	1.000	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	 
347.0	1	XP_027430366.1	 	50.9	316	35930	aldose reductase isoform X1 [Zalophus californianus]	151	151	1.000	10	18	5	8	9	6	2	5	10	22	9	5	7	4	3	2	8	13	5	10	18	5	8	9	6	2	5	10	22	9	5	7	4	3	2	8	13	5	10.000	18.000	5.000	8.000	9.000	6.000	2.000	5.000	10.000	22.000	9.000	5.000	7.000	4.000	3.000	2.000	8.000	13.000	5.000	 
348.0	1	XP_027430406.1	 	8.2	392	46522	putative RNA-binding protein Luc7-like 2 isoform X1 [Zalophus californianus]XP_027428740.1 putative RNA-binding protein Luc7-like 2 [Zalophus californianus]	9	9	1.000	2	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	0	2	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	0	2.000	1.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	1.000	0.000	 
348.01	1	XP_027430407.1	redundant	8.6	374	44567	putative RNA-binding protein Luc7-like 2 isoform X2 [Zalophus californianus]	9	9	1.000	2	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	0	2	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	0	2.000	1.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	1.000	0.000	 
348.02	1	XP_027430409.1	redundant	9.4	339	40558	putative RNA-binding protein Luc7-like 2 isoform X3 [Zalophus californianus]XP_027430408.1 putative RNA-binding protein Luc7-like 2 isoform X3 [Zalophus californianus]	9	9	1.000	2	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	0	2	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	0	2.000	1.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	1.000	0.000	 
348.03	1	XP_027430410.1	redundant	7.8	408	48363	putative RNA-binding protein Luc7-like 2 isoform X4 [Zalophus californianus]	9	9	1.000	2	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	0	2	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	0	2.000	1.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	1.000	0.000	 
348.04	1	XP_027430412.1	redundant	8.2	389	46237	putative RNA-binding protein Luc7-like 2 isoform X5 [Zalophus californianus]	9	9	1.000	2	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	0	2	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	0	2.000	1.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	1.000	0.000	 
349.0	1	XP_027430426.1	 	26.4	296	33732	biliverdin reductase A isoform X1 [Zalophus californianus]	19	19	1.000	5	3	0	0	2	0	0	0	0	6	3	0	0	0	0	0	0	0	0	5	3	0	0	2	0	0	0	0	6	3	0	0	0	0	0	0	0	0	5.000	3.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	6.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	 
350.0	1	XP_027430444.1	 	25.9	2719	290062	filamin-C isoform X1 [Zalophus californianus]	157	146	0.930	33	10	1	0	24	4	7	0	2	10	7	1	14	0	0	0	0	44	0	32	9	1	0	21	4	7	0	2	10	6	1	12	0	0	0	0	41	0	32.464	9.310	1.000	0.000	21.761	4.000	7.000	0.000	2.000	10.000	6.194	1.000	12.823	0.000	0.000	0.000	0.000	42.401	0.000	XP_027430444.1, XP_027438476.1, XP_027463788.1
350.01	1	XP_027430445.1	redundant	26.2	2692	286962	filamin-C isoform X2 [Zalophus californianus]	157	146	0.930	33	10	1	0	24	4	7	0	2	10	7	1	14	0	0	0	0	44	0	32	9	1	0	21	4	7	0	2	10	6	1	12	0	0	0	0	41	0	32.464	9.310	1.000	0.000	21.761	4.000	7.000	0.000	2.000	10.000	6.194	1.000	12.823	0.000	0.000	0.000	0.000	42.401	0.000	XP_027430444.1, XP_027438476.1, XP_027463788.1
351.0	1	XP_027430451.1	 	3.6	1482	168512	cystic fibrosis transmembrane conductance regulator isoform X1 [Zalophus californianus]	3	3	1.000	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	 
351.01	1	XP_027430452.1	redundant	4.0	1332	151261	cystic fibrosis transmembrane conductance regulator isoform X2 [Zalophus californianus]	3	3	1.000	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	 
352.0	1	XP_027430511.1	 	30.7	293	31479	insulin-like growth factor-binding protein 3 [Zalophus californianus]	104	104	1.000	6	3	4	8	8	4	7	5	7	4	5	9	7	4	2	5	5	7	4	6	3	4	8	8	4	7	5	7	4	5	9	7	4	2	5	5	7	4	6.000	3.000	4.000	8.000	8.000	4.000	7.000	5.000	7.000	4.000	5.000	9.000	7.000	4.000	2.000	5.000	5.000	7.000	4.000	 
353.0	1	XP_027430512.1	 	2.6	2218	244595	putative maltase-glucoamylase-like protein FLJ16351 [Zalophus californianus]	44	1	0.023	1	0	1	4	1	3	2	7	4	4	0	0	0	4	1	5	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	1.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	XP_027430512.1, XP_027430801.1, XP_027440773.1
354.0	1	XP_027430533.1	 	5.4	589	64143	protein FAM151A [Zalophus californianus]	8	8	1.000	0	0	0	1	0	0	0	2	2	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	2	1	0	0	0	0	0	0	2	0	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	2.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	 
355.0	1	XP_027430539.1	 	37.8	556	61906	carboxypeptidase A1 [Zalophus californianus]	146	146	1.000	0	0	0	13	2	10	0	16	13	18	0	4	10	13	13	10	15	9	0	0	0	0	13	2	10	0	16	13	18	0	4	10	13	13	10	15	9	0	0.000	0.000	0.000	13.000	2.000	10.000	0.000	16.000	13.000	18.000	0.000	4.000	10.000	13.000	13.000	10.000	15.000	9.000	0.000	 
356.0	1	XP_027430577.1	 	3.8	840	96218	V-type proton ATPase 116 kDa subunit a isoform X1 [Zalophus californianus]XP_027430576.1 V-type proton ATPase 116 kDa subunit a isoform X1 [Zalophus californianus]XP_027430575.1 V-type proton ATPase 116 kDa subunit a isoform X1 [Zalophus californianus]XP_027430574.1 V-type proton ATPase 116 kDa subunit a isoform X1 [Zalophus californianus]XP_027430573.1 V-type proton ATPase 116 kDa subunit a isoform X1 [Zalophus californianus]XP_027430572.1 V-type proton ATPase 116 kDa subunit a isoform X1 [Zalophus californianus]	2	1	0.500	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	XP_027423573.1, XP_027430577.1
