Program "PAW_protein_grouper.py" run on Wed Jul 17 11:41:51 2019


	=SUBTOTAL(109,B6:B2341)																																																																					
681	1	XP_027438148.1	 	 	XP_027438148.1, XP_027453069.1	 	40.4	193	21768	transforming protein RhoA [Zalophus californianus]XP_027438147.1 transforming protein RhoA [Zalophus californianus]	62	36	0.581	5	2	2	3	2	1	0	4	5	5	10	1	6	3	3	3	6	1	0	1	1	2	2	2	1	0	2	2	2	6	1	2	3	3	3	2	1	0	5.000	2.000	2.000	2.667	2.000	1.000	0.000	3.333	5.000	4.000	10.000	1.000	6.000	3.000	3.000	3.000	4.000	1.000	0.000
682	1	XP_027438152.1	 	 	 	 	25.9	1845	197369	xin actin-binding repeat-containing protein 1 isoform X1 [Zalophus californianus]XP_027438151.1 xin actin-binding repeat-containing protein 1 isoform X1 [Zalophus californianus]	58	58	1.000	13	0	0	0	9	0	1	0	0	0	0	1	1	0	0	0	0	33	0	13	0	0	0	9	0	1	0	0	0	0	1	1	0	0	0	0	33	0	13.000	0.000	0.000	0.000	9.000	0.000	1.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	33.000	0.000
683	1	XP_027438174.1	 	 	 	 	35.3	1133	116671	microtubule-associated protein 4 isoform X2 [Zalophus californianus]	53	53	1.000	6	2	0	0	8	0	0	3	2	3	15	0	2	0	0	1	1	10	0	6	2	0	0	8	0	0	3	2	3	15	0	2	0	0	1	1	10	0	6.000	2.000	0.000	0.000	8.000	0.000	0.000	3.000	2.000	3.000	15.000	0.000	2.000	0.000	0.000	1.000	1.000	10.000	0.000
684	1	XP_027438178.1 (+2)	XP_027438178.1&XP_027438180.1&XP_027438181.1	 	XP_027438178.1, XP_027439285.1	 	5.9	492	53331	intercellular adhesion molecule 3 isoform X1 [Zalophus californianus]	7	2	0.286	0	0	0	1	0	0	0	1	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
685	1	XP_027438230.1 (+1)	XP_027438230.1&XP_027438231.1	 	 	 	24.3	350	39214	glycogenin-1 isoform X1 [Zalophus californianus]	19	19	1.000	6	2	0	0	2	0	0	0	0	0	6	0	1	0	0	0	0	2	0	6	2	0	0	2	0	0	0	0	0	6	0	1	0	0	0	0	2	0	6.000	2.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	6.000	0.000	1.000	0.000	0.000	0.000	0.000	2.000	0.000
686	1	XP_027438269.1	 	 	 	 	21.6	204	24146	60S ribosomal protein L15 [Zalophus californianus]	17	17	1.000	4	2	0	0	1	0	0	0	1	0	2	0	5	0	0	0	0	2	0	4	2	0	0	1	0	0	0	1	0	2	0	5	0	0	0	0	2	0	4.000	2.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	2.000	0.000	5.000	0.000	0.000	0.000	0.000	2.000	0.000
687	1	XP_027438277.1	 	 	 	 	41.0	205	22780	protein phosphatase inhibitor 2 [Zalophus californianus]	12	12	1.000	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000
688	1	XP_027438278.1	 	 	 	 	25.5	188	21367	apolipoprotein D [Zalophus californianus]	9	9	1.000	0	0	2	0	0	0	0	0	1	3	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	3	0	1	0	1	0	0	0	1	0	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	1.000	3.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000
689	1	XP_027438316.1	 	 	 	 	49.3	623	68234	transketolase isoform X1 [Zalophus californianus]	141	141	1.000	22	19	4	7	7	6	3	3	1	3	23	7	22	1	0	0	4	6	3	22	19	4	7	7	6	3	3	1	3	23	7	22	1	0	0	4	6	3	22.000	19.000	4.000	7.000	7.000	6.000	3.000	3.000	1.000	3.000	23.000	7.000	22.000	1.000	0.000	0.000	4.000	6.000	3.000
690	1	XP_027438356.1 (+2)	XP_027438356.1&XP_027438357.1&XP_027438358.1	 	XP_027438356.1, XP_027462506.1	 	17.4	651	72710	lamin-B2 isoform X1 [Zalophus californianus]	13	10	0.769	5	2	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	2	0	4	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	4.364	1.250	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	2.000	0.000
691	1	XP_027438452.1	 	 	 	 	32.9	401	45085	cAMP-dependent protein kinase type II-alpha regulatory subunit isoform X1 [Zalophus californianus]	19	19	1.000	7	1	0	1	0	0	0	2	0	0	4	0	1	0	0	0	3	0	0	7	1	0	1	0	0	0	2	0	0	4	0	1	0	0	0	3	0	0	7.000	1.000	0.000	1.000	0.000	0.000	0.000	2.000	0.000	0.000	4.000	0.000	1.000	0.000	0.000	0.000	3.000	0.000	0.000
692	1	XP_027438476.1 (+2)	XP_027438476.1&XP_027438477.1&XP_027438478.1	 	XP_027430444.1, XP_027438476.1, XP_027463788.1	 	40.7	2602	277745	filamin-B isoform X4 [Zalophus californianus]	260	251	0.965	38	21	0	2	69	11	1	1	0	9	26	0	24	1	1	0	3	53	0	37	20	0	2	67	11	1	1	0	9	25	0	23	1	1	0	3	50	0	37.536	20.690	0.000	2.000	68.523	11.000	1.000	1.000	0.000	9.000	25.806	0.000	23.657	1.000	1.000	0.000	3.000	51.648	0.000
693	1	XP_027438480.1	 	 	 	 	12.9	326	36150	ELAV-like protein 1 [Zalophus californianus]	10	10	1.000	4	1	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4	1	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4.000	1.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
694	1	XP_027438670.1	 	 	XP_027437540.1, XP_027438670.1	 	53.2	111	12569	small ubiquitin-related modifier 3 [Zalophus californianus]	30	10	0.333	4	1	1	0	4	1	1	0	1	6	3	0	2	1	1	0	1	1	2	3	0	0	0	3	0	0	0	0	2	2	0	0	0	0	0	0	0	0	3.750	0.500	0.500	0.000	4.000	0.500	0.500	0.000	0.500	4.000	3.000	0.000	1.000	0.500	0.500	0.000	0.500	0.500	1.000
695	1	XP_027438691.1 (+3)	XP_027438691.1&XP_027438692.1&XP_027438694.1&XP_027438695.1	 	 	 	11.5	1474	162466	adhesion G protein-coupled receptor L1 isoform X1 [Zalophus californianus]	74	74	1.000	2	1	0	10	0	1	1	10	8	5	0	0	2	5	10	7	12	0	0	2	1	0	10	0	1	1	10	8	5	0	0	2	5	10	7	12	0	0	2.000	1.000	0.000	10.000	0.000	1.000	1.000	10.000	8.000	5.000	0.000	0.000	2.000	5.000	10.000	7.000	12.000	0.000	0.000
696	1	XP_027438706.1	 	 	 	 	3.6	956	108369	coiled-coil domain-containing protein 80 [Zalophus californianus]	24	24	1.000	1	1	0	4	1	0	1	6	0	1	0	0	2	0	2	1	3	1	0	1	1	0	4	1	0	1	6	0	1	0	0	2	0	2	1	3	1	0	1.000	1.000	0.000	4.000	1.000	0.000	1.000	6.000	0.000	1.000	0.000	0.000	2.000	0.000	2.000	1.000	3.000	1.000	0.000
697	1	XP_027438726.1	 	 	 	 	29.3	858	95339	elongation factor 2 [Zalophus californianus]	90	90	1.000	29	6	0	1	10	2	1	4	4	3	8	0	8	1	0	0	4	9	0	29	6	0	1	10	2	1	4	4	3	8	0	8	1	0	0	4	9	0	29.000	6.000	0.000	1.000	10.000	2.000	1.000	4.000	4.000	3.000	8.000	0.000	8.000	1.000	0.000	0.000	4.000	9.000	0.000
698	1	XP_027438730.1	 	 	 	 	26.5	426	44232	3-ketoacyl-CoA thiolase, peroxisomal isoform X1 [Zalophus californianus]	13	13	1.000	4	0	0	1	0	0	0	0	0	0	2	0	5	0	0	0	1	0	0	4	0	0	1	0	0	0	0	0	0	2	0	5	0	0	0	1	0	0	4.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	5.000	0.000	0.000	0.000	1.000	0.000	0.000
699	1	XP_027438732.1 (+2)	XP_027438732.1&XP_027438733.1&XP_027438734.1	 	 	 	13.9	296	33577	myeloid differentiation primary response protein MyD88 isoform X1 [Zalophus californianus]	4	4	1.000	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
700	1	XP_027438740.1	 	 	 	 	36.4	129	14501	small integral membrane protein 24 [Zalophus californianus]	29	29	1.000	0	0	0	6	1	0	0	5	0	1	0	0	0	0	0	2	14	0	0	0	0	0	6	1	0	0	5	0	1	0	0	0	0	0	2	14	0	0	0.000	0.000	0.000	6.000	1.000	0.000	0.000	5.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	2.000	14.000	0.000	0.000
701	1	XP_027438742.1 (+5)	XP_027438742.1&XP_027438745.1&XP_027438749.1&XP_027438750.1&XP_027438751.1&XP_027438752.1	 	 	 	12.1	462	50532	coxsackievirus and adenovirus receptor isoform X1 [Zalophus californianus]	37	37	1.000	5	0	0	1	3	2	2	0	4	4	2	1	2	2	5	0	1	3	0	5	0	0	1	3	2	2	0	4	4	2	1	2	2	5	0	1	3	0	5.000	0.000	0.000	1.000	3.000	2.000	2.000	0.000	4.000	4.000	2.000	1.000	2.000	2.000	5.000	0.000	1.000	3.000	0.000
702	1	XP_027438758.1 (+1)	XP_027438758.1&XP_027438759.1	 	 	 	39.6	273	30406	chondrolectin isoform X1 [Zalophus californianus]	71	71	1.000	0	0	0	6	0	0	0	16	10	7	0	0	0	4	7	10	11	0	0	0	0	0	6	0	0	0	16	10	7	0	0	0	4	7	10	11	0	0	0.000	0.000	0.000	6.000	0.000	0.000	0.000	16.000	10.000	7.000	0.000	0.000	0.000	4.000	7.000	10.000	11.000	0.000	0.000
703	1	XP_027438762.1 (+9)	XP_027438762.1&XP_027438764.1&XP_027438765.1&XP_027438766.1&XP_027438767.1&XP_027438768.1&XP_027438769.1&XP_027438770.1&XP_027438772.1&XP_027438773.1	 	XP_027438762.1, XP_027442100.1, XP_027471337.1	 	25.3	1733	175986	collagen alpha-1(XVIII) chain isoform X1 [Zalophus californianus]	420	417	0.993	38	26	5	22	29	14	25	25	23	13	26	17	28	15	22	34	28	20	10	38	26	5	21	29	14	25	25	23	13	26	17	28	14	21	34	28	20	10	38.000	26.000	5.000	21.677	29.000	14.000	25.000	25.000	23.000	13.000	26.000	17.000	28.000	14.609	21.618	34.000	28.000	20.000	10.000
704	1	XP_027438793.1	 	 	 	 	1.5	3295	349009	LOW QUALITY PROTEIN: mucin-16-like [Zalophus californianus]	5	5	1.000	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.000	1.000	1.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000
705	1	XP_027438927.1 (+2)	XP_027438927.1&XP_027438928.1&XP_027438929.1	 	 	 	9.8	518	58023	nectin-3 isoform X1 [Zalophus californianus]	29	29	1.000	0	0	0	4	0	0	0	4	3	2	0	0	0	1	3	6	6	0	0	0	0	0	4	0	0	0	4	3	2	0	0	0	1	3	6	6	0	0	0.000	0.000	0.000	4.000	0.000	0.000	0.000	4.000	3.000	2.000	0.000	0.000	0.000	1.000	3.000	6.000	6.000	0.000	0.000
706	1	XP_027438961.1 (+6)	XP_027438961.1&XP_027438962.1&XP_027438963.1&XP_027438964.1&XP_027438965.1&XP_027438966.1&XP_027438968.1	 	 	 	8.3	900	95843	interleukin enhancer-binding factor 3 isoform X1 [Zalophus californianus]	12	12	1.000	3	1	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	2	0	3	1	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	2	0	3.000	1.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	2.000	0.000	0.000	0.000	0.000	2.000	0.000
707	1	XP_027438967.1	 	 	 	 	10.6	367	40376	WNT1-inducible-signaling pathway protein 1 [Zalophus californianus]	20	20	1.000	0	0	0	1	0	0	0	4	3	0	0	0	0	1	2	4	5	0	0	0	0	0	1	0	0	0	4	3	0	0	0	0	1	2	4	5	0	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	4.000	3.000	0.000	0.000	0.000	0.000	1.000	2.000	4.000	5.000	0.000	0.000
708	1	XP_027438969.1	 	 	 	 	16.3	669	74958	beta-galactosidase isoform X1 [Zalophus californianus]	50	50	1.000	0	0	0	3	4	1	3	6	5	9	0	0	3	3	2	3	8	0	0	0	0	0	3	4	1	3	6	5	9	0	0	3	3	2	3	8	0	0	0.000	0.000	0.000	3.000	4.000	1.000	3.000	6.000	5.000	9.000	0.000	0.000	3.000	3.000	2.000	3.000	8.000	0.000	0.000
709	1	XP_027439002.1	 	 	 	 	49.4	869	96214	programmed cell death 6-interacting protein isoform X2 [Zalophus californianus]	133	133	1.000	5	5	4	19	5	0	4	14	10	3	11	0	3	4	10	12	23	1	0	5	5	4	19	5	0	4	14	10	3	11	0	3	4	10	12	23	1	0	5.000	5.000	4.000	19.000	5.000	0.000	4.000	14.000	10.000	3.000	11.000	0.000	3.000	4.000	10.000	12.000	23.000	1.000	0.000
710	1	XP_027439044.1 (+1)	XP_027439044.1&XP_027446043.1	 	 	 	57.5	113	12967	protein S100-A10 isoform X1 [Zalophus californianus]	35	35	1.000	3	4	1	1	1	3	1	0	1	2	6	0	8	0	0	0	2	2	0	3	4	1	1	1	3	1	0	1	2	6	0	8	0	0	0	2	2	0	3.000	4.000	1.000	1.000	1.000	3.000	1.000	0.000	1.000	2.000	6.000	0.000	8.000	0.000	0.000	0.000	2.000	2.000	0.000
712	1	XP_027439049.1	 	 	 	 	9.1	905	102253	coatomer subunit beta' [Zalophus californianus]	11	11	1.000	2	1	0	0	3	1	0	0	0	3	0	0	1	0	0	0	0	0	0	2	1	0	0	3	1	0	0	0	3	0	0	1	0	0	0	0	0	0	2.000	1.000	0.000	0.000	3.000	1.000	0.000	0.000	0.000	3.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
714	1	XP_027439097.1	 	 	XP_027425226.1, XP_027425228.1, XP_027425237.1, XP_027425238.1, XP_027439097.1, XP_027466026.1, XP_027466028.1, XP_027466032.1, XP_027466033.1, XP_027470294.1	 	60.1	248	28521	tropomyosin alpha-4 chain isoform X2 [Zalophus californianus]	101	34	0.337	14	11	1	1	9	1	3	1	2	2	16	5	9	2	0	2	1	20	1	5	5	1	0	4	1	2	0	0	0	6	0	4	1	0	0	0	5	0	7.281	6.468	1.000	0.218	5.377	1.000	2.218	0.218	0.723	0.580	8.499	1.090	5.233	1.218	0.000	0.436	0.218	9.164	0.218
715	1	XP_027439113.1	 	 	 	 	20.9	359	39240	pyruvate dehydrogenase E1 component subunit beta, mitochondrial [Zalophus californianus]	17	17	1.000	2	0	0	4	2	0	0	0	0	0	0	0	3	0	0	0	3	3	0	2	0	0	4	2	0	0	0	0	0	0	0	3	0	0	0	3	3	0	2.000	0.000	0.000	4.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	3.000	3.000	0.000
716	1	XP_027439195.1 (+1)	XP_027439195.1&XP_027439196.1	 	 	 	11.2	1470	154265	protein HEG homolog 1 isoform X1 [Zalophus californianus]	147	147	1.000	0	3	0	14	9	4	5	22	13	5	3	1	9	11	13	14	17	1	3	0	3	0	14	9	4	5	22	13	5	3	1	9	11	13	14	17	1	3	0.000	3.000	0.000	14.000	9.000	4.000	5.000	22.000	13.000	5.000	3.000	1.000	9.000	11.000	13.000	14.000	17.000	1.000	3.000
720	1	XP_027439217.1	 	 	 	 	30.5	82	8851	musculoskeletal embryonic nuclear protein 1 [Zalophus californianus]	11	11	1.000	2	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	3	0	2	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	3	0	2.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	3.000	0.000
721	1	XP_027439222.1 (+1)	XP_027439222.1&XP_027439223.1	 	 	 	10.2	538	58309	inosine-5'-monophosphate dehydrogenase 2 isoform X1 [Zalophus californianus]	5	5	1.000	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
722	1	XP_027439285.1	 	 	XP_027438178.1, XP_027439285.1	 	24.6	533	57671	intercellular adhesion molecule 1 [Zalophus californianus]	47	42	0.894	1	0	0	6	1	0	2	5	3	2	0	1	3	1	6	9	7	0	0	1	0	0	5	1	0	2	4	2	2	0	1	2	1	6	9	6	0	0	1.000	0.000	0.000	6.000	1.000	0.000	2.000	5.000	3.000	2.000	0.000	1.000	3.000	1.000	6.000	9.000	7.000	0.000	0.000
723	1	XP_027439287.1 (+3)	XP_027439287.1&XP_027439288.1&XP_027439291.1&XP_027439292.1	 	 	 	2.0	1360	155039	TRAF2 and NCK-interacting protein kinase isoform X1 [Zalophus californianus]	4	4	1.000	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.000	1.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
724	1	XP_027439306.1	 	 	 	 	4.8	665	74508	protein-arginine deiminase type-4 [Zalophus californianus]	4	4	1.000	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	4.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
725	1	XP_027439308.1 (+2)	XP_027439308.1&XP_027439309.1&XP_027439310.1	 	 	 	21.6	264	28506	protein shisa-5 isoform X1 [Zalophus californianus]	352	352	1.000	20	8	2	30	13	13	7	33	32	11	15	4	17	35	25	39	30	10	8	20	8	2	30	13	13	7	33	32	11	15	4	17	35	25	39	30	10	8	20.000	8.000	2.000	30.000	13.000	13.000	7.000	33.000	32.000	11.000	15.000	4.000	17.000	35.000	25.000	39.000	30.000	10.000	8.000
726	1	XP_027439416.1 (+1)	XP_027439416.1&XP_027439417.1	 	XP_027439416.1, XP_027439418.1	 	51.4	699	77108	serotransferrin isoform X1 [Zalophus californianus]	298	296	0.993	8	32	26	13	19	12	9	7	38	24	4	23	11	23	17	0	0	13	19	8	32	26	12	19	12	9	7	38	24	4	23	11	23	16	0	0	13	19	8.000	32.000	26.000	12.074	19.000	12.000	9.000	7.000	38.000	24.000	4.000	23.000	11.000	23.000	16.099	0.000	0.000	13.000	19.000
727	1	XP_027439418.1	 	 	XP_027439416.1, XP_027439418.1, XP_027443479.1	 	57.9	1006	110559	LOW QUALITY PROTEIN: serotransferrin-like [Zalophus californianus]	3559	3556	0.999	90	271	355	151	201	169	217	75	150	203	168	349	112	282	147	89	75	232	223	90	271	355	150	201	169	217	75	150	203	168	349	112	282	146	89	75	231	223	90.000	271.000	355.000	150.926	201.000	169.000	217.000	75.000	150.000	203.000	168.000	349.000	112.000	282.000	146.901	89.000	75.000	231.799	223.000
728	1	XP_027439468.1	 	 	 	 	46.6	189	21107	calcyphosin [Zalophus californianus]XP_027439467.1 calcyphosin [Zalophus californianus]XP_027439466.1 calcyphosin [Zalophus californianus]	14	14	1.000	2	0	0	0	0	0	0	0	1	1	7	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	1	1	7	0	0	1	0	0	0	2	0	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	7.000	0.000	0.000	1.000	0.000	0.000	0.000	2.000	0.000
729	1	XP_027439520.1 (+3)	XP_027439520.1&XP_027439523.1&XP_027439525.1&XP_027439529.1	 	 	 	24.5	763	81255	heterogeneous nuclear ribonucleoprotein M isoform X1 [Zalophus californianus]	33	33	1.000	9	0	0	1	3	1	0	3	1	1	3	0	9	0	0	0	0	2	0	9	0	0	1	3	1	0	3	1	1	3	0	9	0	0	0	0	2	0	9.000	0.000	0.000	1.000	3.000	1.000	0.000	3.000	1.000	1.000	3.000	0.000	9.000	0.000	0.000	0.000	0.000	2.000	0.000
730	1	XP_027439551.1 (+3)	XP_027439551.1&XP_027439552.1&XP_027439553.1&XP_027439554.1	 	XP_027435148.1, XP_027439551.1	 	28.3	770	86697	amyloid-beta A4 protein isoform X1 [Zalophus californianus]	94	92	0.979	5	5	3	11	3	1	2	11	7	1	1	0	2	9	12	9	11	1	0	5	5	3	10	3	1	2	11	7	1	1	0	2	9	11	9	11	1	0	5.000	5.000	3.000	10.476	3.000	1.000	2.000	11.000	7.000	1.000	1.000	0.000	2.000	9.000	11.550	9.000	11.000	1.000	0.000
731	1	XP_027439563.1	 	 	 	 	36.8	231	25701	protein FAM3D isoform X2 [Zalophus californianus]	9	9	1.000	2	0	0	0	3	0	0	1	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	1	1	0	1	0	1	0	0	0	0	0	0	2.000	0.000	0.000	0.000	3.000	0.000	0.000	1.000	1.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
732	1	XP_027439580.1	 	 	 	 	63.7	168	18305	heat shock protein beta-7 [Zalophus californianus]	29	29	1.000	8	2	0	0	3	0	1	0	1	0	7	1	0	0	0	0	0	6	0	8	2	0	0	3	0	1	0	1	0	7	1	0	0	0	0	0	6	0	8.000	2.000	0.000	0.000	3.000	0.000	1.000	0.000	1.000	0.000	7.000	1.000	0.000	0.000	0.000	0.000	0.000	6.000	0.000
733	1	XP_027439596.1 (+1)	XP_027439596.1&XP_027439597.1	 	XP_027424108.1, XP_027424308.1, XP_027439596.1	 	20.6	408	46489	eukaryotic initiation factor 4A-II isoform X1 [Zalophus californianus]	23	4	0.174	9	1	0	0	0	0	0	0	2	0	6	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4.800	0.400	0.000	0.000	0.000	0.000	0.000	0.000	0.800	0.000	3.000	0.000	2.600	0.000	0.000	0.000	0.000	0.000	0.000
734	1	XP_027439655.1	 	 	 	 	35.4	793	89052	hepatocyte growth factor-like protein [Zalophus californianus]XP_027439654.1 hepatocyte growth factor-like protein [Zalophus californianus]	102	102	1.000	0	4	10	9	1	1	3	7	10	1	0	5	2	11	10	11	11	4	2	0	4	10	9	1	1	3	7	10	1	0	5	2	11	10	11	11	4	2	0.000	4.000	10.000	9.000	1.000	1.000	3.000	7.000	10.000	1.000	0.000	5.000	2.000	11.000	10.000	11.000	11.000	4.000	2.000
735	1	XP_027439676.1	 	 	 	 	54.9	257	27141	protein CDV3 homolog isoform X1 [Zalophus californianus]	44	44	1.000	9	2	0	0	5	0	1	1	1	0	12	0	1	0	0	0	1	11	0	9	2	0	0	5	0	1	1	1	0	12	0	1	0	0	0	1	11	0	9.000	2.000	0.000	0.000	5.000	0.000	1.000	1.000	1.000	0.000	12.000	0.000	1.000	0.000	0.000	0.000	1.000	11.000	0.000
736	1	XP_027439720.1 (+2)	XP_027439720.1&XP_027439721.1&XP_027439722.1	 	 	 	23.5	264	27765	glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial isoform X1 [Zalophus californianus]	5	5	1.000	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000
737	1	XP_027439754.1 (+8)	XP_027439754.1&XP_027439755.1&XP_027439756.1&XP_027439757.1&XP_027439758.1&XP_027439759.1&XP_027439760.1&XP_027439762.1&XP_027439763.1	 	 	 	2.3	2039	219569	myosin light chain kinase, smooth muscle isoform X1 [Zalophus californianus]	54	54	1.000	6	3	0	4	3	0	2	3	4	3	3	0	1	4	3	6	6	3	0	6	3	0	4	3	0	2	3	4	3	3	0	1	4	3	6	6	3	0	6.000	3.000	0.000	4.000	3.000	0.000	2.000	3.000	4.000	3.000	3.000	0.000	1.000	4.000	3.000	6.000	6.000	3.000	0.000
738	1	XP_027439774.1	 	 	XP_027439774.1, XP_027459012.1	 	73.1	1661	186659	complement C3 [Zalophus californianus]	3357	3356	1.000	105	336	433	102	126	291	366	40	49	112	127	541	151	131	17	25	21	169	215	105	336	433	102	126	291	366	40	49	112	127	540	151	131	17	25	21	169	215	105.000	336.000	433.000	102.000	126.000	291.000	366.000	40.000	49.000	112.000	127.000	541.000	151.000	131.000	17.000	25.000	21.000	169.000	215.000
739	1	XP_027439775.1 (+1)	XP_027439775.1&XP_027439776.1	 	XP_027439775.1, XP_027465713.1	 	12.3	326	37713	cAMP-dependent protein kinase catalytic subunit alpha isoform X1 [Zalophus californianus]	5	2	0.400	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
740	1	XP_027439827.1 (+1)	XP_027439827.1&XP_027439829.1	 	XP_027439827.1, XP_027470122.1	 	9.3	473	51964	angiopoietin-related protein 6 isoform X1 [Zalophus californianus]	7	3	0.429	0	0	0	1	0	0	0	2	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.059	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000
741	1	XP_027439831.1	 	 	 	 	16.9	320	35581	eukaryotic translation initiation factor 3 subunit G isoform X2 [Zalophus californianus]	3	3	1.000	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
742	1	XP_027439861.1	 	 	 	 	36.7	270	29150	myeloid-derived growth factor [Zalophus californianus]	59	59	1.000	7	7	3	1	10	2	9	1	0	0	2	0	3	1	0	0	0	8	5	7	7	3	1	10	2	9	1	0	0	2	0	3	1	0	0	0	8	5	7.000	7.000	3.000	1.000	10.000	2.000	9.000	1.000	0.000	0.000	2.000	0.000	3.000	1.000	0.000	0.000	0.000	8.000	5.000
